Date,Price,Open,High,Low,Volume,Chg%,USD,GBP,EURO,Date,Price_Nifty,Open_Nifty,High_Nifty,Low_Nifty,Vol._Nifty,Change %_Nifty,Price_Sensex,Open_Sensex,High_Sensex,Low_Sensex,Vol._Sensex,Change %_Sensex
2019-10-03,38012,37583,38215,37583,380,1.7,17.6,14.32,16.06,2019-10-01,"11,359.90","11,515.40","11,554.20","11,247.90",1.31B,-1.00%,"38,305.41","38,813.48","38,923.78","37,929.89",75.38M,-0.94%
2019-10-01,37377,36979,37507,36750,3670,1.37,17.11,13.91,15.69,2019-09-30,"11,474.45","11,491.15","11,508.25","11,390.80",756.85M,-0.33%,"38,667.33","38,873.12","38,873.12","38,401.09",49.01M,-0.40%
2019-09-30,36873,37600,37620,36811,17000,-2.21,17.255,14.03,15.8,2019-09-27,"11,512.40","11,556.35","11,593.60","11,499.75",650.02M,-0.51%,"38,822.57","39,003.13","39,107.37","38,782.60",39.20M,-0.43%
2019-09-27,37706,37824,37824,37301,27420,-0.18,17.52,14.24,16.02,2019-09-26,"11,571.20","11,469.85","11,610.85","11,466.35",844.47M,1.15%,"38,989.74","38,700.48","39,158.07","38,676.11",33.23M,1.03%
2019-09-26,37773,37572,37825,37427,25210,0.54,17.97,14.56,16.44,2019-09-25,"11,440.20","11,564.85","11,564.95","11,416.10",629.05M,-1.28%,"38,593.52","39,087.20","39,087.20","38,510.97",28.78M,-1.29%
2019-09-25,37571,38010,38170,37455,27540,-1.37,18.57,14.96,16.89,2019-09-24,"11,588.20","11,590.70","11,655.05","11,539.20",651.72M,-0.10%,"39,097.14","39,135.28","39,306.37","38,913.06",30.60M,0.02%
2019-09-24,38091,37899,38140,37758,25610,0.49,18.56,14.91,16.89,2019-09-23,"11,600.20","11,542.70","11,694.85","11,471.35",882.83M,2.89%,"39,090.03","38,844.00","39,441.12","38,674.04",56.15M,2.83%
2019-09-23,37905,37750,37960,37725,19980,0.63,18.38,14.79,16.73,2019-09-20,"11,274.20","10,746.80","11,381.90","10,691.00",1.36B,5.32%,"38,014.62","36,214.92","38,378.02","36,085.74",61.03M,5.32%
2019-09-20,37669,37700,37749,37437,20700,-0.01,17.88,14.3,16.19,2019-09-19,"10,704.80","10,845.20","10,845.20","10,670.25",642.60M,-1.25%,"36,093.47","36,613.93","36,613.93","35,987.80",31.75M,-1.29%
2019-09-19,37672,37700,37767,37525,23030,-0.44,17.755,14.26,16.05,2019-09-18,"10,840.65","10,872.80","10,885.15","10,804.85",519.16M,0.21%,"36,563.88","36,621.38","36,712.99","36,465.92",25.43M,0.23%
2019-09-18,37837,38067,38067,37728,19420,-0.42,17.85,14.32,16.16,2019-09-17,"10,817.60","11,000.10","11,000.10","10,796.50",482.01M,-1.69%,"36,481.09","37,169.46","37,169.56","36,419.09",20.49M,-1.73%
2019-09-17,37995,38068,38165,37853,24420,-0.43,17.84,14.38,16.18,2019-09-16,"11,003.50","10,994.85","11,052.70","10,968.20",434.45M,-0.65%,"37,123.31","37,204.56","37,302.06","37,028.94",19.89M,-0.70%
2019-09-16,38161,37749,38188,37749,25820,1.72,17.835,14.32,16.16,2019-09-13,"11,075.90","10,986.80","11,084.45","10,945.75",624.31M,0.85%,"37,384.99","37,175.86","37,413.50","37,000.09",34.26M,0.76%
2019-09-13,37517,37700,37891,37451,28040,-0.61,18.145,14.57,16.36,2019-09-12,"10,982.80","11,058.30","11,081.75","10,964.95",551.44M,-0.48%,"37,104.28","37,330.47","37,435.15","37,048.67",27.46M,-0.45%
2019-09-12,37747,37900,38215,37662,41660,-0.57,18.19,14.77,16.5,2019-09-11,"11,035.70","11,028.50","11,054.80","11,011.65",687.14M,0.30%,"37,270.82","37,251.03","37,343.46","37,193.57",36.67M,0.34%
2019-09-11,37965,38200,38260,37931,27740,-0.74,18.165,14.7,16.5,2019-09-09,"11,003.05","10,936.70","11,028.85","10,889.80",412.47M,0.52%,"37,145.45","36,969.48","37,244.08","36,784.47",25.32M,0.44%
2019-09-10,38248,38382,38487,38200,18610,-0.55,17.99,14.58,16.3,2019-09-06,"10,946.20","10,883.80","10,957.05","10,867.45",497.21M,0.91%,"36,981.77","36,785.59","37,012.98","36,727.66",23.05M,0.92%
2019-09-09,38459,38578,39699,38265,31730,-0.24,18.17,14.68,16.48,2019-09-05,"10,847.90","10,860.95","10,920.10","10,816.00",595.70M,0.03%,"36,644.42","36,821.71","36,898.99","36,541.88",27.42M,-0.22%
2019-09-06,38551,38821,38962,38385,40450,0.12,18.145,14.75,16.45,2019-09-04,"10,844.65","10,790.40","10,858.75","10,746.35",508.78M,0.43%,"36,724.74","36,575.24","36,776.31","36,409.54",25.65M,0.44%
2019-09-05,38504,39198,39370,38353,630,-2.12,19.22,15.58,17.38,2019-09-03,"10,797.90","10,960.95","10,967.50","10,772.70",483.04M,-2.04%,"36,562.91","37,181.76","37,188.38","36,466.01",23.57M,-2.06%
2019-09-04,39337,39337,39490,38981,1850,0.06,19.305,15.81,17.52,2019-08-30,"11,023.25","10,987.80","11,042.60","10,874.80",628.15M,0.68%,"37,332.79","37,222.26","37,397.97","36,829.81",33.42M,0.71%
2019-09-03,39314,38852,39431,38634,1200,1.57,18.475,15.36,16.89,2019-08-29,"10,948.30","10,996.05","11,021.10","10,922.40",649.88M,-0.89%,"37,068.93","37,381.80","37,381.80","36,987.35",31.68M,-1.02%
2019-09-02,38708,38520,38800,38400,2320,1.07,18.35,15.2,16.73,2019-08-28,"11,046.10","11,101.30","11,129.65","10,987.65",549.96M,-0.53%,"37,451.84","37,655.77","37,687.82","37,249.19",28.65M,-0.50%
2019-08-30,38300,38424,38588,38224,16910,-0.33,18.385,15.1,16.65,2019-08-27,"11,105.35","11,106.55","11,141.75","11,049.50",685.55M,0.43%,"37,641.27","37,658.48","37,731.51","37,449.69",36.47M,0.39%
2019-08-29,38426,38740,38998,38289,24910,-0.89,18.48,15.15,16.69,2019-08-26,"11,057.85","11,000.30","11,070.30","10,756.55",684.14M,2.11%,"37,494.12","37,363.95","37,544.48","36,492.65",35.58M,2.16%
2019-08-28,38772,38547,38879,38465,19150,0.33,18.365,15.05,16.56,2019-08-23,"10,829.35","10,699.60","10,862.55","10,637.15",667.08M,0.82%,"36,701.16","36,387.68","36,807.34","36,102.35",38.37M,0.63%
2019-08-27,38644,38367,38679,38331,20050,0.6,17.725,14.46,15.96,2019-08-22,"10,741.35","10,905.30","10,908.25","10,718.30",668.19M,-1.62%,"36,472.93","37,087.58","37,087.58","36,391.35",33.06M,-1.59%
2019-08-23,38357,37700,38426,37595,28960,1.53,17.05,13.96,15.42,2019-08-21,"10,918.70","11,018.15","11,034.20","10,906.65",557.87M,-0.89%,"37,060.37","37,298.73","37,406.55","37,022.52",28.54M,-0.72%
2019-08-22,37779,37560,37800,37501,20060,0.48,16.96,13.97,15.32,2019-08-20,"11,017.00","11,063.90","11,076.30","10,985.30",444.72M,-0.33%,"37,328.01","37,441.75","37,511.55","37,219.90",20.87M,-0.20%
2019-08-21,37598,37555,37636,37441,15780,-0.11,17.11,14.11,15.41,2019-08-19,"11,053.90","11,094.80","11,146.90","11,037.85",369.49M,0.06%,"37,402.49","37,485.92","37,718.88","37,358.49",17.66M,0.14%
